latitude,longitude,avg_ws100_mean,avg_ws100_std,max_ws100_mean,min_ws100_mean,annual_energy_mwh_mean,annual_energy_mwh_std,annual_energy_gwh_mean,capacity_factor_mean,capacity_factor_std,full_load_hours_mean,full_load_hours_std,low_ratio_mean,high_ratio_mean,safe_ratio_mean,rated_ratio_mean,avg_ws100_cv,annual_energy_mwh_cv,capacity_factor_cv,distance_to_load_km,n_turbines,installed_capacity_mw,score_energy,score_cf,score_turbines,score_distance,score_lowrisk,composite_score,distance_to_control_point,elevation_m,slope_deg,nearest_town_name,distance_to_nearest_town_km,elevation_penalty,slope_penalty,score_town_dist,score_load_dist,score_elevation,score_slope,composite_score_v4,distance_to_reference_point,candidate_id,n_years,rho_mean,rho_std_mean,rho_interannual_std,ws100_raw_mean,ws100_density_eq_mean,annual_energy_raw_mwh_mean,annual_energy_raw_mwh_std,annual_energy_density_corrected_mwh_mean,annual_energy_density_corrected_mwh_std,capacity_factor_raw_mean,capacity_factor_density_corrected_mean,full_load_hours_raw_mean,full_load_hours_density_corrected_mean,low_ratio_raw_mean,low_ratio_density_corrected_mean,density_AEP_change_percent,raw_AEP_cv,density_corrected_AEP_cv,n_turbines_raw_recomputed,installed_capacity_raw_recomputed_mw,n_turbines_density_corrected,installed_capacity_density_corrected_mw,score_energy_density,score_cf_density,score_turbines_density,score_lowrisk_density,composite_score_density_corrected,rank_density_corrected,rank_original_v4,ranking_shift_density_minus_original,distance_to_reference_point_km
37.25,99.75,4.1806828933333335,0.2368148787704189,17.6246218,0.0494335681666666,1559.73833,294.9465477813192,1.5597383233333335,0.0889623252333333,0.0168356275488942,779.8691660000001,147.4732709556407,0.4014707209455131,3.80517503805e-06,0.5985254738794487,0.0156126539744325,0.0566450230291449,0.1891000189636419,0.189244463931639,129.88700721546732,713,1426.0,0.9507011709803916,0.9507018838763998,0.9984085377270174,0.5478354984958669,0.8480254866447273,0.8919307359400046,129.72702629953938,3337.343994140625,3.962970495223999,黑马河乡,57.97691578715151,0.0,0.0,0.3967975542800909,0.5478354984958669,1.0,1.0,0.8426523437409525,88.06651063381435,1,30,0.86600566,0.02996099,0.0013569865,4.1806827,3.7261233,1559.7383760901268,294.947005220723,1117.8736421443864,233.7804629067109,0.0890261630188428,0.0638055731817572,779.8691880450634,558.9368210721932,0.4014745261205512,0.4729243601899676,-28.32941349134363,0.18910030665532587,0.209129595772789,713,1426.0,994,1988.0,1.0,1.0,1.0,0.8638993222751693,0.8627666574449473,1,1,0,88.06651063381435
37.0,100.25,3.813128943333333,0.2017900210166169,18.11818573333333,0.0311676293333333,1423.03962,237.28721768691096,1.4230396166666668,0.0811640787333333,0.0135361567339281,711.5198053333334,118.64360826949144,0.4854739730186058,2.2820653575193333e-05,0.5145032063278189,0.0156876970165763,0.0529197999898261,0.1667467401131888,0.16677521565176,83.97987676082182,781,1562.0,0.8645969648266706,0.8645820183549427,0.9952256131810522,0.720632102800592,0.6979751296141978,0.8589942247957614,86.32870640326571,3194.0,0.0,江西沟乡,48.248634782449486,0.0,0.0,0.3270382745058984,0.720632102800592,1.0,1.0,0.8124292296565081,76.61862980041296,8,30,0.8798877,0.02964265,0.0013397717,3.813129,3.4123895,1423.0395469390248,237.2875608124437,1039.7866997612157,193.95480232247488,0.0812237184325927,0.0593485559224438,711.5197734695124,519.8933498806078,0.485496793672181,0.5426091960476084,-26.931988503214164,0.16674698979578753,0.18653325953007102,781,1562.0,1069,2138.0,0.9284386888640765,0.9284386888640765,0.9981547999803179,0.7291408367516262,0.839696584394001,2,5,-3,76.61862980041296
37.0,100.0,3.8758217833333335,0.2113162434406196,17.653005416666666,0.0298902463066666,1436.551365,257.6283155541972,1.4365513566666666,0.081934763,0.0146971895500409,718.2756783333333,128.8141555521602,0.4670236565444851,1.1415525114153334e-05,0.5329649279304006,0.0160297053172642,0.0545216615349327,0.1793380465405058,0.1793767262137671,94.4055896851292,774,1548.0,0.8731077845482065,0.8730930631654445,0.995553267178431,0.681389227610298,0.7309319081429526,0.8607408397479984,94.58225420891551,3194.0,0.0,黑马河乡,36.01544071198357,0.0,0.0,0.2393168356123102,0.681389227610298,1.0,1.0,0.8046667736223352,65.23942171792993,7,30,0.87623703,0.028847804,0.0013286545,3.8758216,3.465368,1436.5509819030344,257.62827227684625,1046.8333839695672,210.08965470307623,0.0819949190583923,0.0597507639252036,718.2754909515172,523.4166919847836,0.4670350720695994,0.5301229716129784,-27.12869942264066,0.17933806424019824,0.2006906332184605,774,1548.0,1062,2124.0,0.9348964902034604,0.9348964902034607,0.9983270186488216,0.7532870469566015,0.8302654448544011,3,6,-3,65.23942171792993
36.75,99.0,4.15877944,0.219088518056782,16.247070516666664,0.0371422862266666,1492.5858616666667,249.3208418154724,1.492585875,0.0851295034333333,0.0142151113124312,746.2929276666667,124.66041946661976,0.4004032653808086,0.0,0.5995967346191914,0.0080607018988446,0.0526809659462926,0.1670395306686565,0.1669821946461069,150.96002799830478,745,1490.0,0.9084029665781368,0.908374150586139,0.9969106908818574,0.4685156543310323,0.8499322234036657,0.8586939633011546,145.14513626477515,3063.400146484375,2.5473763942718506,黑马河乡,69.37485787165478,0.0,0.0,0.4785295920716184,0.4685156543310323,1.0,1.0,0.8239873609076382,71.86644434699691,5,30,0.8524154,0.03034122,0.0015197915,4.1587796,3.6867023,1492.585543608112,249.3202678451571,1016.8072555027068,183.1533964868806,0.0851932387904173,0.0580369438072321,746.292771804056,508.40362775135344,0.4004032653808086,0.4627464942485714,-31.876115251342934,0.16703918171581714,0.18012597323209506,745,1490.0,1093,2186.0,0.9073796089446126,0.9073796089446126,0.9975643359740196,0.8835815642327474,0.8270953430216113,4,3,1,71.86644434699691
37.5,99.75,4.312873026666667,0.2509727909147495,16.39732085,0.0427527029866666,1638.0049633333333,301.6075776906161,1.6380049666666667,0.0934263227,0.0172160950519749,819.002474,150.8037828655549,0.3737169074531526,0.0,0.6262830925468473,0.0102553002137551,0.058191555689902,0.1841310523729097,0.1842745658229248,153.3613351609366,679,1358.0,1.0,1.0,1.0,0.4594770209099055,0.8976005866642341,0.9086816118029092,154.17294589988887,3963.650146484375,5.42981481552124,黑马河乡,85.75808744657091,0.5,0.3,0.5960099871145866,0.4594770209099055,0.5,0.7,0.8286878403052691,115.85442761714634,0,30,0.8226503,0.027133478,0.001567545,4.312873,3.779727,1638.0051213846964,301.608504745995,1089.2476058390307,220.18216816282427,0.0934934430014096,0.0621716669999446,819.0025606923482,544.6238029195154,0.3737169074531526,0.443506115311359,-33.501575079433856,0.18413160057218175,0.20214152134235935,679,1358.0,1021,2042.0,0.9737662068955937,0.9737662068955927,0.9993357279929145,0.9207891474115995,0.8211806239700995,5,2,3,115.85442761714634
36.75,99.25,4.024629726666666,0.2246427404235598,16.568509433333336,0.0438480516,1504.6744833333332,258.3765415932044,1.504674463333333,0.0858193329,0.0147344816686319,752.3372443333334,129.18827589113528,0.4480464688807378,0.0,0.551953531119262,0.0108820624464571,0.0558169957686061,0.17171590563616,0.1716918690780451,130.11885481005416,739,1478.0,0.9160173849738992,0.915992276135527,0.9971915371653248,0.5469628132144289,0.7648298074993127,0.8658289577427021,124.797880699566,3204.2314453125,1.1179379224777222,黑马河乡,47.11655326169225,0.0,0.0,0.318920376647528,0.5469628132144289,1.0,1.0,0.8133672061574333,52.91760724355338,3,30,0.8533533,0.030437274,0.0014607866,4.0246296,3.567219,1504.674933592858,258.3762012866052,1037.1916236852387,192.66172341040888,0.0858832724653457,0.0592004351418515,752.337466796429,518.5958118426194,0.4480464688807379,0.5127357752992157,-31.06872451123806,0.17171562808563262,0.18575325813552543,739,1478.0,1072,2144.0,0.926060480154314,0.9260604801543139,0.9980809919795306,0.786910893721913,0.8194548771003758,6,4,2,52.917607243553384
37.25,100.0,3.99179479,0.2104681706188477,17.246199266666668,0.04558783105,1364.4206733333333,252.6947796057896,1.364420665,0.0778219609333333,0.0144244221690563,682.2103406666666,126.34738776456152,0.4242189618318071,3.80517503805e-06,0.5757772329931548,0.0127646572015536,0.0527251979851518,0.1852029836138779,0.185351563955232,118.4287409264296,815,1630.0,0.8276738814391197,0.8276733703027342,0.9936341509080696,0.5909649532528166,0.8073915637599935,0.831629275583222,119.78592696524818,3217.123046875,1.9917339086532595,黑马河乡,61.1836541381842,0.0,0.0,0.4197923421243359,0.5909649532528166,1.0,1.0,0.8005468957806603,91.51580496801606,13,30,0.8735998,0.03029848,0.0015778341,3.9917948,3.5666025,1364.4207077859726,252.69440942537355,976.738433096444,200.63638158475337,0.0778778942800212,0.0557499105648655,682.2103538929863,488.369216548222,0.4242227670068451,0.4962165539669469,-28.413690328594864,0.18520270762777957,0.20541464816603808,815,1630.0,1138,2276.0,0.8706592895217508,0.8706592895217508,0.9964572159622103,0.8188562261800744,0.8181061862820811,7,8,-1,91.51580496801606
37.25,99.5,4.087906206666667,0.2311342782159443,16.939572033333334,0.0390999081966666,1478.1075933333334,277.6454994635486,1.478107588,0.0843058749666666,0.0158446860453289,739.053795,138.82274135443384,0.4157908110221157,0.0,0.5842091889778842,0.012851822741223,0.0565409934892841,0.187838490726795,0.1879428456390936,143.90083129575802,752,1504.0,0.8992833501507235,0.8992784169761563,0.9965830368844786,0.4950868036762155,0.8224463027955842,0.8552940984925587,142.48397789417697,3418.69677734375,5.69815731048584,黑马河乡,62.97008652630632,0.0,0.3,0.432602440506615,0.4950868036762155,1.0,0.7,0.8019361223954246,90.14314475576384,6,30,0.8574446,0.030261649,0.0014543908,4.0879064,3.631118,1478.1077552844192,277.6456120130887,1036.097113945203,213.6494648158001,0.0843668810093846,0.0591379631247262,739.0538776422096,518.0485569726015,0.4157908110221157,0.4805902283936755,-29.903817212173678,0.18783854629033037,0.20620602252454448,752,1504.0,1073,2146.0,0.9250574372683005,0.9250574372683008,0.9980563893126014,0.849074851834209,0.8144012836142921,8,7,1,90.14314475576383
36.75,100.5,3.7341745366666665,0.2161603233886198,17.894584549999998,0.0308832528133333,1262.2185166666668,243.04500951057025,1.2622185166666666,0.0719908198666666,0.0138598709205701,631.10926,121.52250754447884,0.4776961120676031,1.5210303499093333e-05,0.5222886776288977,0.0131775810731008,0.0578870433789569,0.1925538298649082,0.1925227542378292,51.10108968152927,881,1762.0,0.7632984709690315,0.7632772160521626,0.990544841789927,0.8443894081406147,0.7118682918886332,0.8271264353585792,55.597463322278735,3194.0,0.0,江西沟乡,27.93228708763219,0.0,0.0,0.1813543883036475,0.8443894081406147,1.0,1.0,0.778252315251281,76.92699086735222,24,30,0.87036586,0.027533075,0.0011657949,3.7341745,3.3306668,1262.218788009399,243.0451479577524,907.7823167615892,195.1377734500581,0.0720444513703995,0.0518140591758898,631.1093940046995,453.89115838079465,0.4777113223711023,0.5395376816295298,-28.0804306364968,0.19255389815663446,0.2149609767088106,881,1762.0,1224,2448.0,0.8074657523545562,0.8074657523545566,0.9943413866063081,0.735080617281347,0.7976017956585069,9,12,-3,76.92699086735222
36.5,99.5,3.7486288233333336,0.2334433313277974,17.395096533333334,0.0314711140733333,1405.3490666666669,263.0200739677859,1.4053490766666668,0.0801551306,0.0150050846765145,702.6745366666668,131.51004236965267,0.5002401418935216,0.0,0.4997598581064783,0.0130728139997171,0.0622743254479424,0.1871564013570241,0.1872005517824531,100.35311299998644,791,1582.0,0.8534539843904492,0.8534397086625282,0.9947575360419396,0.6590024693299943,0.671599139911724,0.8414238054507969,93.74479499331882,3046.669677734375,1.2759363651275637,切吉乡,23.711543176905185,0.0,0.0,0.1510883983326225,0.6590024693299943,1.0,1.0,0.7793614316407402,20.075991450812555,10,30,0.86538327,0.03190912,0.0015527139,3.7486289,3.3351173,1405.3492983429928,263.0206509382693,994.4860173431751,204.3850129554025,0.0802140010469744,0.0567629005332862,702.6746491714964,497.2430086715876,0.5002401418935216,0.5539866798080362,-29.23566984266864,0.18715678105677316,0.20551823694960383,791,1582.0,1118,2236.0,0.8869237296372221,0.8869237296372217,0.9969492693007922,0.7071387402875382,0.7956957080081302,10,10,0,20.075991450812555
